words,definition
attribute noise,<p>Attribute noise trong học máy (machine learning) đề cập đến các lỗi trong các giá trị của một hoặc nhiều thuộc tính (attribute). Một số ví dụ về attribute noise là:</p>
contradictory example,"<p>Contradictory example trong học máy (machine learning) là các mẫu (example) trùng lặp có các nhãn lớp (class label) khác nhau. Giả sử ta có hai mẫu (0.25, red, class = positive) và (0.25, red, class = negative) là các contradictory example, vì chúng có cùng giá trị thuộc tính (attribute) và khác lớp (class).</p>"
class noise,"<p>Class noise hoặc label noise trong học máy (machine ) xảy ra khi một mẫu (example) được dán nhãn (label) không chính xác. Class noise có thể do một số nguyên nhân, chẳng hạn như chủ quan trong quá trình ghi nhãn, lỗi nhập dữ liệu hoặc sự thiếu thông tin được sử dụng để dán nhãn cho từng mẫu. Có thể phân biệt hai loại class noise: contradictory example và misclassification.</p>"
class balancing,<span> Cân bằng lớp</span>
undersampling,<p>Hiểu thuật ngữ tập dữ liệu không cân bằng (imbalanced dataset) trước khi xem thuật ngữ này. Undersampling trong học máy (machine learning) nhằm mục đích giảm kích thước của lớp (class) chiếm đa số để cân bằng tập dữ liệu (dataset).</p>
oversampling,<p>Hiểu thuật ngữ tập dữ liệu không cân bằng (imbalanced dataset) trước khi xem thuật ngữ này. Oversampling trong học máy (machine learning) là một kỹ thuật để thay đổi các lớp (class) của dữ liệu không bằng nhau để tạo ra các tập dữ liệu cân bằng (balanced dataset). Kỹ thuật này cố gắng tăng kích thước của các mẫu (sample) hiếm để tạo ra sự cân bằng khi dữ liệu không đủ.</p>
recall,"<p>Recall trong học máy (machine learning) là một chỉ số (metric) cho các mô hình phân loại (classification model) trả lời câu hỏi sau: Trong số tất cả các nhãn (label) positive  có thể có, mô hình xác định đúng bao nhiêu nhãn ? Đó là: Recall  = True Positive / (True Positive + False Negative).</p>"
multilabel classification,<span> Phân loại đa nhãn</span>
multiclass classification,<span> Phân loại đa lớp</span>
balanced dataset,<span> Tập dữ liệu cân bằng</span>
imbalanced dataset,<span> Tập dữ liệu mất cân bằng</span>
false negative,"<p>False negative (FN) là một mẫu (example) trong đó mô hình (model) dự đoán nhầm lớp negative (negative class). Ví dụ: mô hình suy ra rằng một thư email cụ thể không phải là thư rác (lớp negative), nhưng thư email đó thực sự là thư rác.</p>"
true negative,<p>True negative (TN) là một mẫu (example) trong đó mô hình (model) đã dự đoán chính xác lớp negative (negative class). Ví dụ: mô hình suy ra rằng một thư email cụ thể không phải là thư rác và thư đó thực sự không phải là thư rác.</p>
true positive,<p>True positive (TP) là một mẫu (example) trong đó mô hình (model) đã dự đoán chính xác lớp positive (positive class). Ví dụ: mô hình suy ra rằng một thư email cụ thể là thư rác và thư email đó thực sự là thư rác.</p>
building block,<span> Thành phần cơ bản</span>
classification threshold,<span> Ngưỡng phân loại</span>
training step,"<p>Trong học máy (machine learning), training step cũng được gọi là iteration.</p>"
negative class,<span> Lớp tiêu cực</span>
positive class,"<p>Trong phân loại nhị phân (binary classification), hai lớp (class) có thể được gắn nhãn (label) là tích cực (positive) và tiêu cực (negative). Lớp tích cực (positive class) là điều chúng ta đang thử nghiệm.  Ví dụ: lớp tích cực (positive class) trong thử nghiệm y tế có thể là khối u. Lớp tích cực (positive class) trong bộ phân loại email có thể là spam.</p>"
binary category,<span> Lớp nhị phân</span>
independent variable,<p>Biến độc lập (independent variable) là biến ảnh hưởng đến các giá trị của biến phụ thuộc (dependent variable) hoặc được sử dụng để dự đoán giá trị của các biến phụ thuộc. Ví dụ biến diện tích căn phòng là biến độc lập và nó tác động đến biến phụ thuộc giá căn phòng.</p>
univariate linear regression,<span> Hồi quy tuyến tính đơn biến</span>
prototype,<span> Nguyên mẫu</span>
